"","run","receptor","hour_along","traj_dt","lat","lon","height","traj_dt_i","lat_i","lon_i","height_i","pressure","theta","air_temp","rainfall","mixdepth","rh","sp_humidity","h2o_mixrate","terr_msl","sun_flux"
"1",1,1,0,2020-10-22 00:00:00,33.996,-117.492,10,2020-10-22 00:00:00,33.99636,-117.4924,10,939,302,296.5,0,251.7,35.2,6.7,6.8,NA,NA
"2",1,1,-1,2020-10-21 23:00:00,33.915,-117.595,9.6,2020-10-22 00:00:00,33.99636,-117.4924,10,943,301.3,296.2,0,250,38.1,7,7.1,NA,NA
"3",1,1,-2,2020-10-21 22:00:00,33.851,-117.683,9.3,2020-10-22 00:00:00,33.99636,-117.4924,10,946.3,300.6,295.8,0,250,40.7,7.3,7.4,NA,NA
"4",1,1,-3,2020-10-21 21:00:00,33.803,-117.758,9,2020-10-22 00:00:00,33.99636,-117.4924,10,949,300.1,295.5,0,250,43.1,7.6,7.7,NA,NA
"5",1,1,-4,2020-10-21 20:00:00,33.767,-117.819,8.7,2020-10-22 00:00:00,33.99636,-117.4924,10,951.2,299.6,295.3,0,250,45.1,7.8,7.9,NA,NA
"6",1,1,-5,2020-10-21 19:00:00,33.742,-117.866,8.6,2020-10-22 00:00:00,33.99636,-117.4924,10,952.8,299.2,295,0,250,46.8,8,8.1,NA,NA
"7",1,1,-6,2020-10-21 18:00:00,33.727,-117.899,8.6,2020-10-22 00:00:00,33.99636,-117.4924,10,953.9,298.9,294.8,0,250,48.1,8.1,8.2,NA,NA
"8",1,1,-7,2020-10-21 17:00:00,33.722,-117.92,8.7,2020-10-22 00:00:00,33.99636,-117.4924,10,954,297.7,293.7,0,250,53.2,8.3,8.5,NA,NA
"9",1,1,-8,2020-10-21 16:00:00,33.727,-117.934,8.8,2020-10-22 00:00:00,33.99636,-117.4924,10,953.7,296.6,292.6,0,250,58,8.5,8.6,NA,NA
"10",1,1,-9,2020-10-21 15:00:00,33.743,-117.939,8.7,2020-10-22 00:00:00,33.99636,-117.4924,10,953,295.5,291.4,0,250,62.4,8.5,8.6,NA,NA
"11",1,1,-10,2020-10-21 14:00:00,33.769,-117.934,8.7,2020-10-22 00:00:00,33.99636,-117.4924,10,951.9,294.5,290.3,0,250,66.7,8.5,8.6,NA,NA
"12",1,1,-11,2020-10-21 13:00:00,33.805,-117.918,8.6,2020-10-22 00:00:00,33.99636,-117.4924,10,950.4,293.4,289.1,0,250,70.7,8.3,8.5,NA,NA
"13",1,1,-12,2020-10-21 12:00:00,33.853,-117.89,8.4,2020-10-22 00:00:00,33.99636,-117.4924,10,948.4,292.4,287.9,0,250,74.4,8.2,8.3,NA,NA
"14",1,1,-13,2020-10-21 11:00:00,33.907,-117.858,8.2,2020-10-22 00:00:00,33.99636,-117.4924,10,946.9,292.7,288.1,0,250,73.3,8.1,8.3,NA,NA
"15",1,1,-14,2020-10-21 10:00:00,33.962,-117.831,8,2020-10-22 00:00:00,33.99636,-117.4924,10,945.4,293.1,288.3,0,250,72.2,8.1,8.3,NA,NA
"16",1,1,-15,2020-10-21 09:00:00,34.017,-117.811,7.8,2020-10-22 00:00:00,33.99636,-117.4924,10,944,293.4,288.5,0,250,71.3,8.2,8.3,NA,NA
"17",1,1,-16,2020-10-21 08:00:00,34.072,-117.798,7.5,2020-10-22 00:00:00,33.99636,-117.4924,10,942.7,293.8,288.8,0,250,70.4,8.2,8.3,NA,NA
"18",1,1,-17,2020-10-21 07:00:00,34.127,-117.793,7.3,2020-10-22 00:00:00,33.99636,-117.4924,10,941.6,294.1,289,0,250,69.6,8.2,8.4,NA,NA
"19",1,1,-18,2020-10-21 06:00:00,34.181,-117.797,7.1,2020-10-22 00:00:00,33.99636,-117.4924,10,940.7,294.5,289.3,0,250,69,8.3,8.4,NA,NA
"20",1,1,-19,2020-10-21 05:00:00,34.227,-117.815,6.9,2020-10-22 00:00:00,33.99636,-117.4924,10,939.7,295.8,290.5,0,250,63.5,8.3,8.4,NA,NA
"21",1,1,-20,2020-10-21 04:00:00,34.256,-117.852,6.6,2020-10-22 00:00:00,33.99636,-117.4924,10,939.4,297,291.7,0,250,58.5,8.2,8.3,NA,NA
"22",1,1,-21,2020-10-21 03:00:00,34.271,-117.91,6.2,2020-10-22 00:00:00,33.99636,-117.4924,10,939.9,298.1,292.8,0,250,54,8.1,8.2,NA,NA
"23",1,1,-22,2020-10-21 02:00:00,34.271,-117.989,5.6,2020-10-22 00:00:00,33.99636,-117.4924,10,941.2,299.1,293.9,0,250,50.1,8.1,8.2,NA,NA
"24",1,1,-23,2020-10-21 01:00:00,34.26,-118.092,5,2020-10-22 00:00:00,33.99636,-117.4924,10,943.2,299.9,294.9,0,250,46.8,8,8.1,NA,NA
"25",1,1,-24,2020-10-21 00:00:00,34.24,-118.218,4.1,2020-10-22 00:00:00,33.99636,-117.4924,10,945.8,300.6,295.7,0,250,44.2,7.9,8,NA,NA
"26",1,1,-25,2020-10-20 23:00:00,34.224,-118.349,3.2,2020-10-22 00:00:00,33.99636,-117.4924,10,949,300,295.5,0,250,45.8,8.1,8.2,NA,NA
"27",1,1,-26,2020-10-20 22:00:00,34.217,-118.462,2.4,2020-10-22 00:00:00,33.99636,-117.4924,10,951.6,299.5,295.2,0,250,47,8.1,8.2,NA,NA
"28",1,1,-27,2020-10-20 21:00:00,34.219,-118.557,1.8,2020-10-22 00:00:00,33.99636,-117.4924,10,953.6,299.2,295.1,0,250,47.9,8.2,8.3,NA,NA
